Field                            	Value	Books
Harry Potter                     	    7	Harry Potter and the Philosopher's Stone | Harry Potter and the Philosopher's Stone | Harry Potter and the Philosopher's Stone | Harry Potter and the Chamber of Secrets | Harry Potter and the Chamber of Secrets | Harry Potter and the Chamber of Secrets | Harry Potter and the Prisoner of Azkaban | Harry Potter and the Prisoner of Azkaban | Harry Potter and the Prisoner of Azkaban | Harry Potter and the Goblet of Fire | Harry Potter and the Goblet of Fire | Harry Potter and the Order of Phoenix | Harry Potter and the Order of Phoenix | Harry Potter and the Order of Phoenix | Harry Potter and the Half Blood Prince | Harry Potter and the Half Blood Prince | Harry Potter and the Goblet of Fire | Harry Potter and the Half Blood Prince | Harry Potter and the Deathly Hollows | Harry Potter and the Deathly Hollows | Harry Potter and the Deathly Hollows
Diary of a Wimpy Kid             	    6	Diary of a Wimpy Kid | Rodrick Rules | The Last Straw | Dog Days | The Ugly Truth | Cabin Fever
Cotton Malone                    	    6	The Templar Legacy | The Alexandria Link | The Venetian Betrayal | The Charlemagne Pursuit | The Paris Vendetta | The Emperor's Tomb
Indian Hill                      	    5	Encounters | Reckoning | Conquest | From the Ashes | Into the Fire
Millennium                       	    5	The Girl with the Dragon Tattoo | The Girl Who Played with Fire | The Girl Who Kicked the Hornet's Nest | The Girl in the Spider's Web | The Girl Who Takes an Eye for an Eye
Game of Thrones                  	    5	A Game of Thrones | A Clash of Kings | A Storm of Swords | A Feast for Crows | A Dance with Dragons
Maze Runner                      	    4	The Kill Order | The Maze Runner | The Scorch Trials | The Death Cure
Twilight                         	    4	Twilight | Eclipse | New Moon | Breaking Dawn
Hannibal                         	    4	Red Dragon | The Silence of the Lambs | Hannibal Rising | Hannibal
Robert Langdon                   	    4	Angels and Demons | Angels and Demons | Angels and Demons | The Da Vinci Code | The Da Vinci Code | The Da Vinci Code | The Lost Symbol | The Lost Symbol | Inferno | Inferno
Magic 2.0                        	    4	Off to be the Wizard | Spell or High Water | An Unwelcomed Quest | Fight and Flight
Mickey Haller                    	    4	The Lincoln Lawyer | Brass Verdict | The Reversal | The Fifth Witness
Hunger Games                     	    3	The Hunger Games | The Hunger Games | Catching Fire | Catching Fire | Mockingjay | Mockingjay
Star Wars: Thrawn                	    3	Heir to the Empire | Heir to the Empire | Dark Force Rising | Dark Force Rising | The Last Command | The Last Command
Divergent                        	    3	Divergent | Insurgent | Allegiant
Lord of the Rings                	    3	The Fellowship of the Ring | The Fellowship of the Ring | The Fellowship of the Ring | The Two Towers | The Two Towers | The Two Towers | The Two Towers | The Return of the King | The Return of the King | The Return of the King
Shopaholic                       	    3	Confession of a Shopaholic | Shopaholic Takes Manhattan | Shopaholic Ties the Knot
Bourne                           	    3	The Bourne Identity | The Bourne Supremacy | The Bourne Ultimatum
Eragon                           	    3	Eldest | Brisingr | Inheritance
Scott Harvath                    	    3	Hidden Order | Act of War | Code of Conduct
Jurassic Park                    	    2	Jurassic Park | The Lost World
Zombie                           	    2	The Zombie Survival Guide | World War Z
The Shining                      	    2	The Shining | Doctor Sleep
Charlie and the Chocolate Factory	    2	Charlie and the Chocolate Factory | Charlie and the Great Class Elevator
Jack McEvoy                      	    2	The Poet | The Scarecrow
Star Wars: Hand of Thrawn        	    2	Specter of the Past | Vision of the Future
John Corey                       	    1	The Lion's Game
Wheel of Time                    	    1	The Eye of the World
Outlander                        	    1	Outlander
Jake Brigance                    	    1	A Time to Kill
To Kill a Mockingbird            	    1	To Kill a Mockingbird
Lincoln Rhyme                    	    1	The Bone Collector
Terrell McCaleb                  	    1	Blood Work
Star Wars: Old Republic          	    1	The Old Republic: Fatal Alliance
The Strain                       	    1	The Strain
Kurt Wallander                   	    1	The Fifth Woman
The Mote in God's Eye            	    1	The Mote in God's Eyes
Scot                             	    1	Foreign Influence
Jamie Bond                       	    1	Unbreakable Bond
Psycho                           	    1	Psycho
